dt,WR_x,WR_y,U_dN
3.67,9.89004,9.89004,9.89543
3.68,9.87924,9.87924,9.88464
3.69,9.86842,9.86842,9.87383
3.7,9.85757,9.85757,9.86299
3.71,9.8467,9.8467,9.85214
3.72,9.83581,9.83581,9.84126
3.73,9.8249,9.8249,9.83036
3.74,9.81397,9.81397,9.81944
3.75,9.80302,9.80302,9.80849
3.76,9.79204,9.79204,9.79753
3.77,9.78104,9.78104,9.78654
3.78,9.77002,9.77002,9.77553
3.79,9.75898,9.75898,9.7645
3.8,9.74792,9.74792,9.75345
3.81,9.73684,9.73684,9.74238
3.82,9.72574,9.72574,9.73129
3.83,9.71461,9.71461,9.72018
3.84,9.70347,9.70347,9.70904
3.85,9.6923,9.6923,9.69788
3.86,9.68111,9.68111,9.68671
3.87,9.6699,9.6699,9.67551
3.88,9.65867,9.65867,9.66429
3.89,9.64742,9.64742,9.65305
3.9,9.63615,9.63615,9.64179
3.91,9.62486,9.62486,9.63051
3.92,9.61355,9.61355,9.61921
3.93,9.60222,9.60222,9.60788
3.94,9.59086,9.59086,9.59654
3.95,9.57949,9.57949,9.58518
3.96,9.56809,9.56809,9.57379
3.97,9.55668,9.55668,9.56239
3.98,9.54525,9.54525,9.55096
3.99,9.53379,9.53379,9.53952
4.0,9.52232,9.52232,9.52805
4.01,9.51082,9.51082,9.51657
4.02,9.49931,9.49931,9.50506
4.03,9.48777,9.48777,9.49354
4.04,9.47621,9.47621,9.48199
4.05,9.46464,9.46464,9.47043
4.06,9.45305,9.45305,9.45884
4.07,9.44143,9.44143,9.44724
4.08,9.4298,9.4298,9.43561
4.09,9.41814,9.41814,9.42397
4.1,9.40647,9.40647,9.41231
4.11,9.39478,9.39478,9.40062
4.12,9.38306,9.38306,9.38892
4.13,9.37133,9.37133,9.3772
4.14,9.35958,9.35958,9.36546
4.15,9.34781,9.34781,9.3537
4.16,9.33602,9.33602,9.34192
4.17,9.32421,9.32421,9.33012
4.18,9.31239,9.31239,9.3183
4.19,9.30054,9.30054,9.30646
4.2,9.28867,9.28867,9.29461
4.21,9.27679,9.27679,9.28273
4.22,9.26489,9.26489,9.27084
4.23,9.25296,9.25296,9.25893
4.24,9.24102,9.24102,9.24699
4.25,9.22906,9.22906,9.23504
4.26,9.21709,9.21709,9.22308
4.27,9.20509,9.20509,9.21109
4.28,9.19307,9.19307,9.19908
4.29,9.18104,9.18104,9.18706
4.3,9.16899,9.16899,9.17502
4.31,9.15692,9.15692,9.16295
4.32,9.14483,9.14483,9.15088
4.33,9.13272,9.13272,9.13878
4.34,9.1206,9.1206,9.12666
4.35,9.10846,9.10846,9.11453
4.36,9.0963,9.0963,9.10238
4.37,9.08412,9.08412,9.09021
4.38,9.07192,9.07192,9.07802
4.39,9.05971,9.05971,9.06581
4.4,9.04748,9.04748,9.05359
4.41,9.03523,9.03523,9.04135
4.42,9.02296,9.02296,9.02909
4.43,9.01067,9.01067,9.01682
4.44,8.99837,8.99837,9.00452
4.45,8.98605,8.98605,8.99221
4.46,8.97371,8.97371,8.97988
4.47,8.96136,8.96136,8.96754
4.48,8.94899,8.94899,8.95517
4.49,8.9366,8.9366,8.94279
4.5,8.92419,8.92419,8.9304
4.51,8.91177,8.91177,8.91798
4.52,8.89933,8.89933,8.90555
4.53,8.88687,8.88687,8.8931
4.54,8.8744,8.8744,8.88064
4.55,8.86191,8.86191,8.86816
4.56,8.8494,8.8494,8.85566
4.57,8.83688,8.83688,8.84314
4.58,8.82434,8.82434,8.83061
4.59,8.81178,8.81178,8.81806
4.6,8.79921,8.79921,8.80549
4.61,8.78662,8.78662,8.79291
4.62,8.77401,8.77401,8.78031
4.63,8.76139,8.76139,8.7677
4.64,8.74875,8.74875,8.75507
