dt,WRv_x,WRv_y,U_vN
4.66,-1.26795,-1.26795,-1.26714
4.67,-1.26955,-1.26955,-1.26875
4.68,-1.27115,-1.27115,-1.27035
4.69,-1.27274,-1.27274,-1.27194
4.7,-1.27432,-1.27432,-1.27353
4.71,-1.2759,-1.2759,-1.27511
4.72,-1.27747,-1.27747,-1.27669
4.73,-1.27904,-1.27904,-1.27826
4.74,-1.2806,-1.2806,-1.27982
4.75,-1.28215,-1.28215,-1.28137
4.76,-1.2837,-1.2837,-1.28292
4.77,-1.28524,-1.28524,-1.28447
4.78,-1.28677,-1.28677,-1.286
4.79,-1.2883,-1.2883,-1.28753
4.8,-1.28982,-1.28982,-1.28906
4.81,-1.29133,-1.29133,-1.29058
4.82,-1.29284,-1.29284,-1.29209
4.83,-1.29434,-1.29434,-1.29359
4.84,-1.29584,-1.29584,-1.29509
4.85,-1.29733,-1.29733,-1.29659
4.86,-1.29881,-1.29881,-1.29807
4.87,-1.30029,-1.30029,-1.29955
4.88,-1.30176,-1.30176,-1.30103
4.89,-1.30322,-1.30322,-1.30249
4.9,-1.30468,-1.30468,-1.30395
4.91,-1.30613,-1.30613,-1.30541
4.92,-1.30758,-1.30758,-1.30686
4.93,-1.30902,-1.30902,-1.3083
4.94,-1.31045,-1.31045,-1.30973
4.95,-1.31187,-1.31187,-1.31116
4.96,-1.31329,-1.31329,-1.31258
4.97,-1.31471,-1.31471,-1.314
4.98,-1.31611,-1.31611,-1.31541
4.99,-1.31751,-1.31751,-1.31681
5.0,-1.31891,-1.31891,-1.31821
5.01,-1.3203,-1.3203,-1.3196
5.02,-1.32168,-1.32168,-1.32099
5.03,-1.32305,-1.32305,-1.32236
5.04,-1.32442,-1.32442,-1.32374
5.05,-1.32578,-1.32578,-1.3251
5.06,-1.32714,-1.32714,-1.32646
5.07,-1.32849,-1.32849,-1.32781
5.08,-1.32983,-1.32983,-1.32916
5.09,-1.33116,-1.33116,-1.3305
5.1,-1.33249,-1.33249,-1.33183
5.11,-1.33382,-1.33382,-1.33316
5.12,-1.33513,-1.33513,-1.33448
5.13,-1.33645,-1.33645,-1.33579
5.14,-1.33775,-1.33775,-1.3371
5.15,-1.33905,-1.33905,-1.3384
5.16,-1.34034,-1.34034,-1.33969
5.17,-1.34162,-1.34162,-1.34098
5.18,-1.3429,-1.3429,-1.34226
5.19,-1.34417,-1.34417,-1.34354
5.2,-1.34544,-1.34544,-1.34481
5.21,-1.3467,-1.3467,-1.34607
5.22,-1.34795,-1.34795,-1.34732
5.23,-1.3492,-1.3492,-1.34857
5.24,-1.35044,-1.35044,-1.34982
5.25,-1.35167,-1.35167,-1.35105
5.26,-1.3529,-1.3529,-1.35228
5.27,-1.35412,-1.35412,-1.35351
5.28,-1.35533,-1.35533,-1.35472
5.29,-1.35654,-1.35654,-1.35593
5.3,-1.35774,-1.35774,-1.35714
5.31,-1.35893,-1.35893,-1.35834
5.32,-1.36012,-1.36012,-1.35953
5.33,-1.3613,-1.3613,-1.36071
5.34,-1.36248,-1.36248,-1.36189
5.35,-1.36365,-1.36365,-1.36306
5.36,-1.36481,-1.36481,-1.36423
5.37,-1.36597,-1.36597,-1.36539
5.38,-1.36712,-1.36712,-1.36654
5.39,-1.36826,-1.36826,-1.36769
5.4,-1.36939,-1.36939,-1.36883
5.41,-1.37052,-1.37052,-1.36996
5.42,-1.37165,-1.37165,-1.37109
5.43,-1.37277,-1.37277,-1.37221
5.44,-1.37388,-1.37388,-1.37332
5.45,-1.37498,-1.37498,-1.37443
5.46,-1.37608,-1.37608,-1.37553
5.47,-1.37717,-1.37717,-1.37662
5.48,-1.37825,-1.37825,-1.37771
5.49,-1.37933,-1.37933,-1.37879
5.5,-1.3804,-1.3804,-1.37987
5.51,-1.38147,-1.38147,-1.38094
5.52,-1.38253,-1.38253,-1.382
5.53,-1.38358,-1.38358,-1.38305
5.54,-1.38463,-1.38463,-1.3841
5.55,-1.38567,-1.38567,-1.38515
5.56,-1.3867,-1.3867,-1.38618
5.57,-1.38773,-1.38773,-1.38721
5.58,-1.38875,-1.38875,-1.38824
5.59,-1.38976,-1.38976,-1.38925
5.6,-1.39077,-1.39077,-1.39026
5.61,-1.39177,-1.39177,-1.39127
5.62,-1.39276,-1.39276,-1.39226
5.63,-1.39375,-1.39375,-1.39325
5.64,-1.39473,-1.39473,-1.39424
5.65,-1.3957,-1.3957,-1.39522
5.66,-1.39667,-1.39667,-1.39619
5.67,-1.39764,-1.39764,-1.39715
5.68,-1.39859,-1.39859,-1.39811
5.69,-1.39954,-1.39954,-1.39907
5.7,-1.40048,-1.40048,-1.40001
5.71,-1.40142,-1.40142,-1.40095
5.72,-1.40235,-1.40235,-1.40188
5.73,-1.40327,-1.40327,-1.40281
5.74,-1.40419,-1.40419,-1.40373
5.75,-1.4051,-1.4051,-1.40464
5.76,-1.406,-1.406,-1.40555
5.77,-1.4069,-1.4069,-1.40645
5.78,-1.40779,-1.40779,-1.40734
5.79,-1.40867,-1.40867,-1.40823
5.8,-1.40955,-1.40955,-1.40911
