dt,U_aN
12.7,0.127984
12.71,0.127839
12.72,0.127694
12.73,0.127546
12.74,0.127398
12.75,0.127249
12.76,0.127098
12.77,0.126947
12.78,0.126794
12.79,0.12664
12.8,0.126485
12.81,0.126329
12.82,0.126172
12.83,0.126014
12.84,0.125854
12.85,0.125694
12.86,0.125532
12.87,0.125369
12.88,0.125205
12.89,0.12504
12.9,0.124874
12.91,0.124707
12.92,0.124539
12.93,0.12437
12.94,0.124199
12.95,0.124028
12.96,0.123855
12.97,0.123682
12.98,0.123507
12.99,0.123332
13,0.123155
13.01,0.122977
13.02,0.122798
13.03,0.122618
13.04,0.122437
13.05,0.122255
13.06,0.122072
13.07,0.121888
13.08,0.121703
13.09,0.121517
13.1,0.12133
13.11,0.121142
13.12,0.120952
13.13,0.120762
13.14,0.120571
13.15,0.120379
13.16,0.120185
13.17,0.119991
13.18,0.119796
13.19,0.1196
13.2,0.119403
13.21,0.119204
13.22,0.119005
13.23,0.118805
13.24,0.118604
13.25,0.118402
13.26,0.118199
13.27,0.117995
13.28,0.11779
13.29,0.117584
13.3,0.117377
13.31,0.117169
13.32,0.11696
13.33,0.116751
13.34,0.11654
13.35,0.116328
13.36,0.116116
13.37,0.115902
13.38,0.115688
13.39,0.115473
13.4,0.115256
13.41,0.115039
13.42,0.114821
13.43,0.114602
13.44,0.114382
13.45,0.114162
13.46,0.11394
13.47,0.113717
13.48,0.113494
13.49,0.11327
13.5,0.113044
13.51,0.112818
13.52,0.112591
13.53,0.112364
13.54,0.112135
13.55,0.111905
13.56,0.111675
13.57,0.111444
13.58,0.111212
13.59,0.110979
13.6,0.110745
13.61,0.11051
13.62,0.110275
13.63,0.110039
13.64,0.109802
13.65,0.109564
13.66,0.109325
13.67,0.109085
13.68,0.108845
13.69,0.108604
13.7,0.108362
13.71,0.108119
13.72,0.107876
13.73,0.107631
13.74,0.107386
13.75,0.10714
13.76,0.106893
13.77,0.106646
13.78,0.106398
13.79,0.106149
13.8,0.105899
13.81,0.105648
13.82,0.105397
13.83,0.105145
13.84,0.104892
13.85,0.104639
13.86,0.104384
13.87,0.104129
13.88,0.103874
13.89,0.103617
13.9,0.10336
13.91,0.103102
13.92,0.102844
13.93,0.102584
13.94,0.102324
13.95,0.102063
